,event,selector,timestamp,page_url_current,actualUser,device_info,component
0,Click,,2020-01-17 11:48:00,,0,2,Prezzi
1,Click,,2023-03-09 09:18:00,,1,5,Previsionimeteo
2,Click,,2021-01-23 14:09:00,,2,2,Magazzino
3,Click,,2021-01-26 07:26:00,,3,4,Quaderno
4,Click,,2021-02-20 00:51:00,,4,0,Rubrica
5,Click,,2020-05-05 09:24:00,,5,3,Education
6,Click,,2023-06-16 18:01:00,,6,4,Prezzi
7,Click,,2023-07-09 22:55:00,,7,3,Previsionimeteo
8,Click,,2021-06-12 16:06:00,,8,1,Magazzino
9,Click,,2022-07-20 06:50:00,,9,1,Quaderno
10,Click,,2020-11-20 00:42:00,,10,4,Rubrica
11,Click,,2022-10-19 00:54:00,,11,1,Education
12,Click,,2022-05-03 07:39:00,,12,5,Prezzi
13,Click,,2023-05-14 21:01:00,,13,3,Previsionimeteo
14,Click,,2020-11-13 11:44:00,,14,5,Magazzino
15,Click,,2020-02-18 19:01:00,,15,0,Quaderno
16,Click,,2022-07-07 21:44:00,,16,0,Rubrica
17,Click,,2021-02-21 23:56:00,,17,0,Education
18,Click,,2020-09-23 05:25:00,,18,3,Prezzi
19,Click,,2020-12-06 17:39:00,,19,4,Previsionimeteo
20,Click,,2021-03-05 13:28:00,,20,3,Magazzino
21,Click,,2023-03-06 09:40:00,,21,4,Quaderno
22,Click,,2021-08-20 17:55:00,,22,5,Rubrica
23,Click,,2020-02-26 05:46:00,,23,0,Education
24,Click,,2022-06-04 16:47:00,,24,4,Prezzi
25,Click,,2021-06-16 04:35:00,,25,3,Previsionimeteo
26,Click,,2023-11-03 11:26:00,,26,1,Magazzino
27,Click,,2020-04-05 14:14:00,,27,1,Quaderno
28,Click,,2023-02-18 06:18:00,,28,5,Rubrica
29,Click,,2023-04-11 07:16:00,,29,4,Education
30,Click,,2020-04-14 17:20:00,,30,5,Prezzi
31,Click,,2020-09-15 22:05:00,,31,3,Previsionimeteo
32,Click,,2023-04-03 00:17:00,,32,1,Magazzino
